Gene,avg_logFC,pct.1,pct.2,p_val_adj
Anxa1,0.32047461,0.891,0.878,2.4803E-215
Lif,0.318187995,0.406,0.228,9.9743E-210
Hes1,0.314030187,0.82,0.794,6.0892E-209
Frat2,0.253747871,0.411,0.292,1.1893E-203
Kcnk5,0.446921713,0.435,0.289,6.7713E-202
Nfib,0.302632388,0.679,0.606,1.4851E-196
Nfkbiz,0.292451129,0.44,0.323,2.4134E-196
Sdc4,0.263710258,0.791,0.747,7.5671E-194
Irx1,0.256243365,0.461,0.315,5.6177E-193
Depdc7,0.295848243,0.575,0.523,1.6072E-184
Pdlim1,0.373553559,0.603,0.561,4.1385E-177
Tbcc,0.44576558,0.614,0.611,1.1739E-176
Lgals3,0.317239718,0.717,0.645,4.0044E-168
Saa1,0.251828618,0.353,0.184,1.6802E-154
Fosl1,0.253305684,0.632,0.55,3.9153E-152
Tnk2,0.273982029,0.42,0.32,1.3404E-150
Btg2,0.440278927,0.901,0.871,1.5241E-147
Cldn1,0.464970341,0.409,0.205,4.408E-138
Klf5,0.327531065,0.563,0.531,3.0414E-133
Ncald,0.265331287,0.383,0.124,3.4036E-124
Kit,0.308275023,0.383,0.129,2.8272E-121
Zfp36,0.265912287,0.837,0.791,6.5377E-105
Tubb2b,0.298253684,0.442,0.395,7.15165E-83
Lmna,0.263680621,0.952,0.968,6.23908E-81
Cxcl16,0.259614617,0.525,0.49,5.75599E-77
Elf3,0.380206151,0.656,0.688,5.21172E-76
Cited2,0.26091248,0.479,0.441,1.71322E-47
Smox,0.310605065,0.453,0.475,8.48082E-29
Tnfaip2,0.395127925,0.307,0.231,2.47369E-08
